"employee_id","first_name","last_name","email","phone_number","hire_date","job_id","salary","manager_id","department_id"
100,Steven,King,steven.king@sqltutorial.org,"515.123.4567","550,875,600,000",4,24000,,9
101,Neena,Kochhar,neena.kochhar@sqltutorial.org,"515.123.4568","622,328,400,000",5,17000,100,9
102,Lex,De Haan,lex.de haan@sqltutorial.org,"515.123.4569","726,876,000,000",5,17000,100,9
103,Alexander,Hunold,alexander.hunold@sqltutorial.org,"590.423.4567","631,317,600,000",9,9000,102,6
104,Bruce,Ernst,bruce.ernst@sqltutorial.org,"590.423.4568","674,773,200,000",9,6000,103,6
105,David,Austin,david.austin@sqltutorial.org,"590.423.4569","867,186,000,000",9,4800,103,6
106,Valli,Pataballa,valli.pataballa@sqltutorial.org,"590.423.4560","886,629,600,000",9,4800,103,6
107,Diana,Lorentz,diana.lorentz@sqltutorial.org,"590.423.5567","918,338,400,000",9,4200,103,6
108,Nancy,Greenberg,nancy.greenberg@sqltutorial.org,"515.124.4569","777,070,800,000",7,12000,101,10
109,Daniel,Faviet,daniel.faviet@sqltutorial.org,"515.124.4169","776,984,400,000",6,9000,108,10
110,John,Chen,john.chen@sqltutorial.org,"515.124.4269","875,394,000,000",6,8200,108,10
111,Ismael,Sciarra,ismael.sciarra@sqltutorial.org,"515.124.4369","875,566,800,000",6,7700,108,10
112,Jose Manuel,Urman,jose manuel.urman@sqltutorial.org,"515.124.4469","889,221,600,000",6,7800,108,10
113,Luis,Popp,luis.popp@sqltutorial.org,"515.124.4567","944,517,600,000",6,6900,108,10
114,Den,Raphaely,den.raphaely@sqltutorial.org,"515.127.4561","786,751,200,000",14,11000,100,3
115,Alexander,Khoo,alexander.khoo@sqltutorial.org,"515.127.4562","800,744,400,000",13,3100,114,3
116,Shelli,Baida,shelli.baida@sqltutorial.org,"515.127.4563","882,914,400,000",13,2900,114,3
117,Sigal,Tobias,sigal.tobias@sqltutorial.org,"515.127.4564","869,691,600,000",13,2800,114,3
118,Guy,Himuro,guy.himuro@sqltutorial.org,"515.127.4565","911,080,800,000",13,2600,114,3
119,Karen,Colmenares,karen.colmenares@sqltutorial.org,"515.127.4566","934,232,400,000",13,2500,114,3
120,Matthew,Weiss,matthew.weiss@sqltutorial.org,"650.123.1234","837,637,200,000",19,8000,100,5
121,Adam,Fripp,adam.fripp@sqltutorial.org,"650.123.2234","860,619,600,000",19,8200,100,5
122,Payam,Kaufling,payam.kaufling@sqltutorial.org,"650.123.3234","799,275,600,000",19,7900,100,5
123,Shanta,Vollman,shanta.vollman@sqltutorial.org,"650.123.4234","876,430,800,000",19,6500,100,5
126,Irene,Mikkilineni,irene.mikkilineni@sqltutorial.org,"650.124.1224","906,930,000,000",18,2700,120,5
145,John,Russell,john.russell@sqltutorial.org,,"844,117,200,000",15,14000,100,8
146,Karen,Partners,karen.partners@sqltutorial.org,,"852,415,200,000",15,13500,100,8
176,Jonathon,Taylor,jonathon.taylor@sqltutorial.org,,"890,690,400,000",16,8600,100,8
177,Jack,Livingston,jack.livingston@sqltutorial.org,,"893,278,800,000",16,8400,100,8
178,Kimberely,Grant,kimberely.grant@sqltutorial.org,,"927,493,200,000",16,7000,100,8
179,Charles,Johnson,charles.johnson@sqltutorial.org,,"946,936,800,000",16,6200,100,8
192,Sarah,Bell,sarah.bell@sqltutorial.org,"650.501.1876","823,384,800,000",17,4000,123,5
193,Britney,Everett,britney.everett@sqltutorial.org,"650.501.2876","857,340,000,000",17,3900,123,5
200,Jennifer,Whalen,jennifer.whalen@sqltutorial.org,"515.123.4444","558,824,400,000",3,4400,101,1
201,Michael,Hartstein,michael.hartstein@sqltutorial.org,"515.123.5555","824,508,000,000",10,13000,100,2
202,Pat,Fay,pat.fay@sqltutorial.org,"603.123.6666","871,765,200,000",11,6000,201,2
203,Susan,Mavris,susan.mavris@sqltutorial.org,"515.123.7777","770,936,400,000",8,6500,101,4
204,Hermann,Baer,hermann.baer@sqltutorial.org,"515.123.8888","770,936,400,000",12,10000,101,7
205,Shelley,Higgins,shelley.higgins@sqltutorial.org,"515.123.8080","770,936,400,000",2,12000,101,11
206,William,Gietz,william.gietz@sqltutorial.org,"515.123.8181","770,936,400,000",1,8300,205,11
